	RCC4-EV	RCC4-VHL
FAM81A	89.2858584138843	189.739343024275
FAM81B	0	0
FAM83A	0	0
FAM83A-AS1	0	0
FAM83B	0.199500782185632	2.22051379784761
FAM83C	0	0.40911975228854
FAM83C-AS1	0	0
FAM83D	399.199864274954	469.773971066839
FAM83E	0	0
FAM83F	0	18.1339323790151
FAM83G	0	0
FAM83H	300.774332696923	243.372737529721
FAM85B	9.81999020040819	3.96209810508121
FAM86B1	151.369901390805	168.118925925286
FAM86B2	10.3848292110973	25.212960020922
FAM86B3P	168.322741838637	140.465102613064
FAM86C1	142.914651492611	208.862847025679
FAM86C2P	54.6701677927276	62.2357914658277
FAM86DP	207.942628730305	223.507169159991
FAM86EP	29.2970966131276	33.4587041167048
FAM86FP	11.6328325022202	1.91829080293487
FAM86GP	0	0
FAM86HP	39.124292084504	21.349544641762
FAM86JP	91.8013502181573	79.4719359242759
FAM86KP	0	0
FAM86LP	0	0
FAM86MP	0	0
FAM87A	0	2.7022448258719
FAM87B	0	0
FAM89A	38.3689976183556	65.4439329621472
FAM89B	346.975440488767	340.844894360424
FAM8A1	168.320107653552	118.176051918823
FAM8A2P	0	0
FAM8A3P	0	0
FAM8A4P	0	0
FAM8A6P	0	0
FAM90A1	3.79603502880107	3.39077505416092
FAM90A11P	0	0
FAM90A12P	0	1.11331572038196
FAM90A13P	0	0
FAM90A15P	0	0
FAM90A20P	0	0
FAM90A21P	0	0
FAM90A24P	0	0
FAM90A25P	0.497163696809786	0.501627661060542
FAM90A26	0	0
FAM90A27P	0	0
FAM90A28P	0	0
FAM90A2P	0.497163696809786	0.501627661060542
FAM90A3P	0	0
FAM90A4P	0	0
FAM90A5P	0	0
FAM90A6P	0.995160260962677	0
FAM91A1	273.137373126699	341.44356575273
FAM91A2P	0	0
FAM91A3P	1.03848873181212	0
FAM92A	898.13377219999	850.074041202773
FAM92A1P1	0	0
FAM92A1P2	0	0
FAM92B	0	0
FAM95B1	10.1546091822566	1.04060915425811
FAM95C	29.5695023413469	45.6948856789911
FAM96AP1	0	0
FAM96AP2	0	0
FAM98A	1488.9651974678	1783.22590190609
FAM98B	168.47684166612	226.996760346616
